"","x","y","z","output"
"1",-4.5,-4.5,-4.5,34944844.8145435
"2",-1.5,-4.5,-4.5,33872362.341109
"3",1.5,-4.5,-4.5,50611686.9355999
"4",4.5,-4.5,-4.5,85170961.4846544
"5",-4.5,-1.5,-4.5,9482971.95538526
"6",-1.5,-1.5,-4.5,6558315.11516035
"7",1.5,-1.5,-4.5,21285928.4411535
"8",4.5,-1.5,-4.5,53701973.8480538
"9",-4.5,1.5,-4.5,7312991.49573138
"10",-1.5,1.5,-4.5,987769.172561454
"11",1.5,1.5,-4.5,14956749.8779063
"12",4.5,1.5,-4.5,46563828.9770079
"13",-4.5,4.5,-4.5,80040868.9821006
"14",-1.5,4.5,-4.5,11834104.1307958
"15",1.5,4.5,-4.5,25227775.6611251
"16",4.5,4.5,-4.5,56150219.9482935
"17",-4.5,-4.5,-1.5,104760306.51992
"18",-1.5,-4.5,-1.5,108280883.9804
"19",1.5,-4.5,-1.5,130329150.279238
"20",4.5,-4.5,-1.5,171009787.588412
"21",-4.5,-1.5,-1.5,27008402.990078
"22",-1.5,-1.5,-1.5,23482236.7451937
"23",1.5,-1.5,-1.5,37852529.2147506
"24",4.5,-1.5,-1.5,70111850.1026498
"25",-4.5,1.5,-1.5,27635357.9054334
"26",-1.5,1.5,-1.5,676353.218377463
"27",1.5,1.5,-1.5,12137313.8403988
"28",4.5,1.5,-1.5,41310753.7709415
"29",-4.5,4.5,-1.5,267926116.926614
"30",-1.5,4.5,-1.5,8763837.39277482
"31",1.5,4.5,-1.5,17742049.52374
"32",4.5,4.5,-1.5,46177659.7815923
"33",-4.5,-4.5,1.5,427986136.733022
"34",-1.5,-4.5,1.5,460304422.707918
"35",1.5,-4.5,1.5,515680595.660318
"36",4.5,-4.5,1.5,593422029.069965
"37",-4.5,-1.5,1.5,133695028.817338
"38",-1.5,-1.5,1.5,143334868.409834
"39",1.5,-1.5,1.5,168861589.429506
"40",4.5,-1.5,1.5,213899624.777479
"41",-4.5,1.5,1.5,114304463.568129
"42",-1.5,1.5,1.5,23162143.9641265
"43",1.5,1.5,1.5,36291766.2908249
"44",4.5,1.5,1.5,66939060.6655084
"45",-4.5,4.5,1.5,883535854.74008
"46",-1.5,4.5,1.5,15263466.6598176
"47",1.5,4.5,1.5,8485033.68635553
"48",4.5,4.5,1.5,33376308.4836353
"49",-4.5,-4.5,4.5,1708400190.65525
"50",-1.5,-4.5,4.5,1877340867.12431
"51",1.5,-4.5,4.5,2066526364.05693
"52",4.5,-4.5,4.5,2290857639.40498
"53",-4.5,-1.5,4.5,638036366.298819
"54",-1.5,-1.5,4.5,747005878.187083
"55",1.5,-1.5,4.5,831814549.793463
"56",4.5,-1.5,4.5,944378755.24317
"57",-4.5,1.5,4.5,472911520.552895
"58",-1.5,1.5,4.5,215380666.557148
"59",1.5,1.5,4.5,267952593.328756
"60",4.5,1.5,4.5,324827348.210036
"61",-4.5,4.5,4.5,2664300141.7473
"62",-1.5,4.5,4.5,95270970.9665907
"63",1.5,4.5,4.5,48429039.5532318
"64",4.5,4.5,4.5,82873858.0654988
